GO	[-6.49 -0.55]	[-0.55 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.23]	[0.23 0.46]	[0.46 0.97]	[0.97 8.92]
SRRM4_HEK293T_POSTAR_CIMS SRRM4_HEK293T_POSTAR_CIMS	-1.591	0.865	0.865	2.032	-0.418	-1.591	1.387	1.110	-0.853	-1.591	-0.859
RBFOX2_HepG2_POSTAR_eCLIP RBFOX2_HepG2_POSTAR_eCLIP	-0.791	2.080	2.776	-0.417	-2.287	-1.786	-0.791	0.440	0.776	-0.291	-0.294
YTHDC2_HEK293T_POSTAR_CIMS YTHDC2_HEK293T_POSTAR_CIMS	-1.605	0.542	0.542	0.542	0.346	-1.605	1.076	2.678	-0.260	-1.063	-1.612
BUD13_K562_POSTAR_eCLIP BUD13_K562_POSTAR_eCLIP	0.262	1.510	3.204	1.510	-1.465	-1.782	-0.760	-0.594	0.262	-0.344	-1.201
YTHDF2_Huh7_POSTAR_Piranha_0.01 YTHDF2_Huh7_POSTAR_Piranha_0.01	-0.952	0.457	0.821	-0.952	0.200	-0.952	0.821	-0.952	1.283	1.283	-0.955
PUM2_HEK293_POSTAR_PAR-CLIP PUM2_HEK293_POSTAR_PAR-CLIP	-1.391	0.678	0.519	1.069	-0.624	-1.765	1.555	2.456	-0.331	-0.830	-1.775
SF3A3_HepG2_POSTAR_eCLIP SF3A3_HepG2_POSTAR_eCLIP	-0.580	1.382	1.874	0.967	-1.489	-2.685	0.276	0.967	0.276	0.375	-1.839
METAP2_K562_POSTAR_eCLIP METAP2_K562_POSTAR_eCLIP	-0.809	2.040	2.372	0.578	-1.406	-1.814	1.192	-0.301	-0.301	-0.809	-1.084
YTHDC2_HEK293T_POSTAR_iCLIP YTHDC2_HEK293T_POSTAR_iCLIP	-1.676	0.499	0.499	0.729	0.316	-1.676	1.005	2.542	-0.287	-0.738	-1.683
NKRF_HepG2_POSTAR_eCLIP NKRF_HepG2_POSTAR_eCLIP	-0.980	0.832	1.083	2.830	-0.473	-1.363	-0.473	1.368	-0.313	-1.363	-1.370
EIF3B_HEK293T_POSTAR_PAR-CLIP EIF3B_HEK293T_POSTAR_PAR-CLIP	-0.706	0.842	1.027	0.531	-1.423	-2.143	0.531	3.212	-1.423	0.301	-0.548
EIF3B_HEK293T_POSTAR_PARalyzer EIF3B_HEK293T_POSTAR_PARalyzer	-0.750	0.711	1.099	0.711	-0.976	-1.979	0.552	2.794	-1.979	0.415	-0.757
YTHDF1_Huh7_POSTAR_PARalyzer YTHDF1_Huh7_POSTAR_PARalyzer	-1.338	0.586	2.100	0.586	-1.066	-3.006	1.330	0.452	0.741	-1.066	-0.271
DDX3X_HEK293T_POSTAR_HITS-CLIP DDX3X_HEK293T_POSTAR_HITS-CLIP	-0.911	0.491	-0.405	1.933	-0.911	-0.911	0.491	1.933	-0.911	0.217	-0.407
DDX3X_HEK293T_POSTAR_Piranha_0.01 DDX3X_HEK293T_POSTAR_Piranha_0.01	-0.911	0.491	-0.405	1.933	-0.911	-0.911	0.491	1.933	-0.911	0.217	-0.407
DHX30_K562_POSTAR_eCLIP DHX30_K562_POSTAR_eCLIP	-1.050	0.874	2.338	0.347	-0.552	-1.406	0.874	-0.385	1.668	-1.050	-1.866
EIF4A3_HeLa_POSTAR_HITS-CLIP EIF4A3_HeLa_POSTAR_HITS-CLIP	-0.822	0.600	1.135	0.600	-1.047	-2.453	0.464	2.432	0.347	0.464	-2.023
DDX6_HepG2_POSTAR_eCLIP DDX6_HepG2_POSTAR_eCLIP	-1.510	0.330	1.409	1.171	-0.525	-2.364	1.409	0.597	0.765	-1.898	-0.388
EIF4A3_HeLa_POSTAR_Piranha_0.01 EIF4A3_HeLa_POSTAR_Piranha_0.01	-0.774	0.645	1.204	0.501	-0.992	-2.368	0.378	2.547	0.275	0.501	-1.945
U2AF2_HeLa_POSTAR_HITS-CLIP U2AF2_HeLa_POSTAR_HITS-CLIP	-0.835	0.310	1.388	0.817	0.527	-2.717	0.527	2.396	-1.571	-0.391	-0.843
RPS3_HepG2_POSTAR_eCLIP RPS3_HepG2_POSTAR_eCLIP	-0.469	2.470	1.886	0.259	-1.612	-1.985	0.615	0.476	-0.621	0.476	-1.305
FAM120A_K562_POSTAR_eCLIP FAM120A_K562_POSTAR_eCLIP	-1.113	0.608	1.097	1.097	-0.897	-2.384	0.608	2.263	0.480	-1.365	-0.721
ELAVL1_HEK293_POSTAR_HITS-CLIP ELAVL1_HEK293_POSTAR_HITS-CLIP	-0.606	0.652	-0.418	1.387	-0.853	-1.591	2.032	2.032	-0.606	-1.175	-0.859
YTHDF1_Huh7_POSTAR_PAR-CLIP YTHDF1_Huh7_POSTAR_PAR-CLIP	-1.380	0.558	2.033	0.558	-1.104	-3.069	1.280	0.429	0.708	-0.677	-0.288
ZNF622_K562_POSTAR_eCLIP ZNF622_K562_POSTAR_eCLIP	-0.822	0.600	1.854	1.135	-1.317	-2.453	0.600	1.135	0.600	-0.635	-1.326
FKBP4_HepG2_POSTAR_eCLIP FKBP4_HepG2_POSTAR_eCLIP	0.231	2.093	0.231	1.131	-0.385	-1.367	0.231	0.453	0.453	-1.367	-1.371
NONO_K562_POSTAR_eCLIP NONO_K562_POSTAR_eCLIP	-0.404	1.804	0.322	1.009	0.453	-2.877	1.248	-0.566	0.611	-1.033	-1.366
CNBP_HEK293_POSTAR_PAR-CLIP CNBP_HEK293_POSTAR_PAR-CLIP	0.531	0.531	-0.644	-0.644	0.272	-3.051	1.359	2.246	0.388	-0.332	-1.149
