GO	[-15.83 -0.96]	[-0.96 -0.54]	[-0.54 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.19]	[0.19 0.45]	[0.45 0.58]	[0.58 0.97]	[0.97 2.01]	[2.01 11.56]
DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS	-0.400	-0.983	-0.400	-2.605	4.250	-0.983	-2.605	0.968	-0.282	0.769	1.443
DESCARTES_FETAL_PLACENTA_MYELOID_CELLS DESCARTES_FETAL_PLACENTA_MYELOID_CELLS	0.470	-2.145	-1.731	-0.490	-0.851	-0.851	-0.490	-1.384	2.875	2.875	1.934
AIZARANI_LIVER_C31_KUPFFER_CELLS_5 AIZARANI_LIVER_C31_KUPFFER_CELLS_5	-1.457	-0.847	-0.629	-1.872	-2.382	0.400	1.663	-0.322	3.003	2.633	-0.455
DESCARTES_FETAL_CEREBELLUM_PURKINJE_NEURONS DESCARTES_FETAL_CEREBELLUM_PURKINJE_NEURONS	2.771	-0.489	-1.392	-2.584	1.645	0.419	-1.392	0.807	-1.901	-0.325	1.334
DESCARTES_FETAL_INTESTINE_ENS_NEURONS DESCARTES_FETAL_INTESTINE_ENS_NEURONS	0.676	-0.543	-1.756	-3.134	1.966	-1.424	-1.143	1.966	0.531	-0.409	2.253
AIZARANI_LIVER_C2_KUPFFER_CELLS_1 AIZARANI_LIVER_C2_KUPFFER_CELLS_1	-0.725	-1.633	0.263	-0.447	-2.317	0.263	1.029	-1.112	1.873	5.070	-0.902
LAKE_ADULT_KIDNEY_C20_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_CORTEX LAKE_ADULT_KIDNEY_C20_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_CORTEX	-1.234	-0.759	-1.234	-0.435	-3.461	-0.435	0.388	-0.319	3.630	2.584	0.829
HAY_BONE_MARROW_PLASMA_CELL HAY_BONE_MARROW_PLASMA_CELL	-0.795	-3.369	-0.595	-1.043	6.428	0.408	0.548	0.291	0.408	-0.436	-0.435
DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS	0.365	-0.594	-1.512	-2.251	0.481	0.481	-1.512	1.589	-0.974	-0.337	5.351
DESCARTES_FETAL_LUNG_MYELOID_CELLS DESCARTES_FETAL_LUNG_MYELOID_CELLS	0.939	-3.012	-0.570	-1.155	-1.155	-1.155	0.277	-0.926	1.335	2.956	2.349
