name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
STRG.19.1-x3-0	STRG.19.1-x3-0	23.883530250583	0.124708164838286	0.374592978263982	0.332916450853496	0.739197351128981	0.999886859973333
DAC+SB.67.8-x1-0	DAC+SB.67.8-x1-0	3.27019870583964	-5.36712728883043	3.4431409638418	-1.55878813710894	0.119046532874844	1
DAC+SB.67.3-x1-0	DAC+SB.67.3-x1-0	6.64725880923968	-0.00865993812644415	1.40680993098886	-0.00615572717798274	0.995088471342933	0.999886859973333
DAC+SB.67.7-x1-0	DAC+SB.67.7-x1-0	0	0	NA	NA	NA	1
STRG.20.6-x3-0	STRG.20.6-x3-0	0	0	NA	NA	NA	1
DAC+SB.67.9-x1-0	DAC+SB.67.9-x1-0	0	0	NA	NA	NA	1
STRG.20.5-x3-0	STRG.20.5-x3-0	0	0	NA	NA	NA	1
DAC.10.1-x2-0	DAC.10.1-x2-0	0	0	NA	NA	NA	1
DAC+SB.67.2-x1-0	DAC+SB.67.2-x1-0	1.92452681613614	4.06047322894857	3.93236622073808	1.03257758840845	0.301801620751327	1
DAC+SB.67.6-x1-0	DAC+SB.67.6-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.4-x1-0	DAC+SB.67.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.1-x1-0	DAC+SB.67.1-x1-0	0	0	NA	NA	NA	1
STRG.20.2-x3-0	STRG.20.2-x3-0	0	0	NA	NA	NA	1
DAC+SB.67.5-x1-0	DAC+SB.67.5-x1-0	0	0	NA	NA	NA	1
STRG.20.1-x3-0	STRG.20.1-x3-0	0.211984413074818	-2.18640557394475	3.47509171189153	-0.629164855264975	0.529241134703395	1
DAC+SB.68.1-x1-0	DAC+SB.68.1-x1-0	0	0	NA	NA	NA	1
STRG.21.1-x3-0	STRG.21.1-x3-0	0	0	NA	NA	NA	1
STRG.22.1-x3-0	STRG.22.1-x3-0	113.782424139767	0.28415164517984	0.221476671678891	1.28298679506896	0.199496702402661	0.999886859973333
DAC+SB.71.1-x1-0	DAC+SB.71.1-x1-0	0.153908739770519	1.01501601105547	4.02716988020127	0.252042014926059	0.801008588615327	1
DAC+SB.71.2-x1-0	DAC+SB.71.2-x1-0	19.1931811377465	-0.309154339715349	0.474633285646498	-0.651354106558814	0.514817928717198	0.999886859973333
DAC+SB.70.1-x1-0	DAC+SB.70.1-x1-0	9.40412993657749	-0.96773473991093	0.608523736981521	-1.59029908136569	0.111767405610711	0.847326217722248
DAC+SB.72.1-x1-0	DAC+SB.72.1-x1-0	0.1640669716798	1.07343088604841	3.59394503835245	0.2986776020761	0.765186048349223	1
DAC+SB.74.3-x1-0	DAC+SB.74.3-x1-0	0	0	NA	NA	NA	1
STRG.23.1-x3-0	STRG.23.1-x3-0	142.540736211546	0.0514867941603567	0.179403115630901	0.286989409182191	0.774120429546108	0.999886859973333
DAC+SB.74.1-x1-0	DAC+SB.74.1-x1-0	6.74061341806952	0.224952302797135	0.994763581077413	0.226136447972385	0.821095297347684	0.999886859973333
DAC+SB.74.2-x1-0	DAC+SB.74.2-x1-0	0.279148542426907	0.0663935419072193	2.29052793759467	0.0289861305847859	0.976875652137514	1
STRG.24.1-x3-0	STRG.24.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.75.1-x1-0	DAC+SB.75.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.75.2-x1-0	DAC+SB.75.2-x1-0	0	0	NA	NA	NA	1
STRG.25.1-x3-0	STRG.25.1-x3-0	18.6101120559556	-0.421849531835525	0.629202164055091	-0.670451495457015	0.502570016988564	0.999886859973333
DAC+SB.77.1-x1-0	DAC+SB.77.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.77.2-x1-0	DAC+SB.77.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.78.1-x1-0	DAC+SB.78.1-x1-0	0.115081570747107	-1.62454842859373	4.04345547145479	-0.40177230590578	0.687851605368536	1
DAC+SB.83.1-x1-0	DAC+SB.83.1-x1-0	1.72577991331812	0.328103777258659	1.44898429517608	0.226437083100882	0.820861488679067	1
DAC+SB.84.1-x1-0	DAC+SB.84.1-x1-0	15.4190817390267	-0.292724309542308	0.487673376291122	-0.600246648214733	0.548341869157497	0.999886859973333
DAC+SB.84.2-x1-0	DAC+SB.84.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.85.1-x1-0	DAC+SB.85.1-x1-0	3.85564512952701	0.52399071500074	1.30567960093755	0.401316459738276	0.688187146684089	1
DAC+SB.88.1-x1-0	DAC+SB.88.1-x1-0	69.708974388792	-0.385287129333007	0.295163023601745	-1.30533670725932	0.191778219992172	0.992044889580951
DAC+SB.88.2-x1-0	DAC+SB.88.2-x1-0	1.61604176759045	3.88030101418153	3.9356961225777	0.985924952874692	0.324169941059455	1
DAC+SB.92.1-x1-0	DAC+SB.92.1-x1-0	2.0097432573183	-0.712710774604054	1.46827966647989	-0.485405329022047	0.627388852958118	1
DAC+SB.93.1-x1-0	DAC+SB.93.1-x1-0	2.37664160822805	-0.446780080879399	1.82418118400583	-0.244920890971086	0.806517685585444	1
DAC+SB.94.2-x1-0	DAC+SB.94.2-x1-0	11.6133719787832	0.544187923040166	1.6241261433795	0.335065059606647	0.73757600928476	0.999886859973333
DAC+SB.94.1-x1-0	DAC+SB.94.1-x1-0	6.92950928717052	-1.85630733156326	3.0629041314272	-0.606061192877848	0.544474119305893	0.999886859973333
DAC+SB.95.1-x1-0	DAC+SB.95.1-x1-0	0.510011652082685	1.06600380110257	2.22470205263868	0.479166996694321	0.631819830939745	1
DAC+SB.95.2-x1-0	DAC+SB.95.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.100.1-x1-0	DAC+SB.100.1-x1-0	24.7612626986141	-0.0774207768575879	0.406112221792392	-0.190638874436943	0.848808531309523	0.999886859973333
DAC+SB.101.1-x1-0	DAC+SB.101.1-x1-0	36.3766023802183	0.11904680541842	0.531523317929892	0.223972874571275	0.822778410034752	0.999886859973333
DAC+SB.103.2-x1-0	DAC+SB.103.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.103.3-x1-0	DAC+SB.103.3-x1-0	0	0	NA	NA	NA	1
STRG.32.1-x3-0	STRG.32.1-x3-0	46.7632906034302	-0.41547993583347	1.22861161550197	-0.338170281471512	0.735234869894098	0.999886859973333
STRG.32.2-x3-0	STRG.32.2-x3-0	14.2414984394074	6.98733967364812	3.91018696065121	1.78695794957191	0.0739442852298384	0.738819372436336
DAC+SB.103.1-x1-0	DAC+SB.103.1-x1-0	14.4510394208271	-1.87469652561579	1.24423116313977	-1.50671079551252	0.13188480319816	0.883338142343329
DAC+SB.104.1-x1-0	DAC+SB.104.1-x1-0	0.501291187411006	-0.935667990321077	2.28952142930248	-0.40867404792369	0.682778881512432	1
DAC+SB.105.1-x1-0	DAC+SB.105.1-x1-0	3.55476063573264	0.036326097479288	0.994396866817104	0.0365307843291599	0.970859132739686	1
DAC+SB.106.1-x1-0	DAC+SB.106.1-x1-0	9.83299262105489	-0.124447492892491	1.14957796113593	-0.108254939725463	0.913793465374883	0.999886859973333
DAC+SB.108.1-x1-0	DAC+SB.108.1-x1-0	0.230163141494214	-2.26268551499878	4.01411914986503	-0.563681702142512	0.572970772360102	1
DAC+SB.108.2-x1-0	DAC+SB.108.2-x1-0	0.368030888244502	-0.421155712105371	3.57935132061511	-0.117662580278092	0.906335017373291	1
DAC+SB.110.1-x1-0	DAC+SB.110.1-x1-0	0	0	NA	NA	NA	1
STRG.34.1-x3-0	STRG.34.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.110.3-x1-0	DAC+SB.110.3-x1-0	65.0689575506293	-0.285466529507988	0.491700555796212	-0.580569873559999	0.561530381451712	0.999886859973333
DAC+SB.110.2-x1-0	DAC+SB.110.2-x1-0	2.91714944456385	-0.543209805475201	1.43484258110111	-0.378584949059942	0.704996100554489	1
