name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.66.4-x1-0	DAC+SB.66.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.5-x1-0	DAC+SB.66.5-x1-0	0.350558815949591	2.39006742198378	3.99311964422066	0.598546408556273	0.549475402592595	1
STRG.19.1-x3-0	STRG.19.1-x3-0	5.27194617556075	0.605394424984624	1.53107598226715	0.395404559927967	0.692544344338711	0.99977667339471
DAC+SB.67.8-x1-0	DAC+SB.67.8-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.3-x1-0	DAC+SB.67.3-x1-0	1.45097536385897	0.714205253667432	3.57241538287943	0.199922231073748	0.841541403535599	1
DAC+SB.67.7-x1-0	DAC+SB.67.7-x1-0	0	0	NA	NA	NA	1
STRG.20.6-x3-0	STRG.20.6-x3-0	0	0	NA	NA	NA	1
DAC+SB.67.9-x1-0	DAC+SB.67.9-x1-0	0	0	NA	NA	NA	1
STRG.20.5-x3-0	STRG.20.5-x3-0	0	0	NA	NA	NA	1
DAC.10.1-x2-0	DAC.10.1-x2-0	0	0	NA	NA	NA	1
DAC+SB.67.2-x1-0	DAC+SB.67.2-x1-0	0.642273492568783	0.593941120602382	3.90994554755178	0.15190521539981	0.879261694740781	1
DAC+SB.67.6-x1-0	DAC+SB.67.6-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.4-x1-0	DAC+SB.67.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.67.1-x1-0	DAC+SB.67.1-x1-0	0	0	NA	NA	NA	1
STRG.20.2-x3-0	STRG.20.2-x3-0	0	0	NA	NA	NA	1
DAC+SB.67.5-x1-0	DAC+SB.67.5-x1-0	0	0	NA	NA	NA	1
STRG.20.1-x3-0	STRG.20.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.68.1-x1-0	DAC+SB.68.1-x1-0	0	0	NA	NA	NA	1
STRG.21.1-x3-0	STRG.21.1-x3-0	0	0	NA	NA	NA	1
STRG.22.1-x3-0	STRG.22.1-x3-0	89.8923286585617	-0.283518999184478	0.294130022305187	-0.963924039315856	0.335084010592164	0.99977667339471
DAC+SB.71.1-x1-0	DAC+SB.71.1-x1-0	1.32717254613742	-3.69802782181806	3.96321764842482	-0.933087241193489	0.350774926140709	1
DAC+SB.71.2-x1-0	DAC+SB.71.2-x1-0	6.47499935877343	0.377578699013753	1.07170381628303	0.35231627738651	0.724601082177762	0.99977667339471
DAC+SB.70.1-x1-0	DAC+SB.70.1-x1-0	3.82267877443272	-0.118143172355178	0.964759611149049	-0.12245866326687	0.902535781475247	1
DAC+SB.72.1-x1-0	DAC+SB.72.1-x1-0	0.0862714588910819	-1.00557955195339	4.04011179618294	-0.248898942079636	0.803438953650139	1
DAC+SB.74.3-x1-0	DAC+SB.74.3-x1-0	0	0	NA	NA	NA	1
STRG.23.1-x3-0	STRG.23.1-x3-0	75.557259565623	-1.17547663570685	1.18261999542459	-0.993959716776839	0.32024247953185	0.99518994277316
DAC+SB.74.1-x1-0	DAC+SB.74.1-x1-0	3.49197304134501	0.519883063036493	1.1857541536655	0.438440853383803	0.66106673704917	1
DAC+SB.74.2-x1-0	DAC+SB.74.2-x1-0	0.590690232194658	1.04007030270555	2.17480031382298	0.478237149449949	0.63248142429585	1
STRG.24.1-x3-0	STRG.24.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.75.1-x1-0	DAC+SB.75.1-x1-0	2.69721383901946	4.83352235790243	3.93482704315109	1.22839512509593	0.219298676996025	1
DAC+SB.75.2-x1-0	DAC+SB.75.2-x1-0	0.682079736257224	-1.15202460967461	3.91749011615932	-0.294072116461151	0.768702797163886	1
STRG.25.1-x3-0	STRG.25.1-x3-0	4.6751820619464	-0.274435781234937	1.5801511864648	-0.173676913693885	0.862119381969285	0.99977667339471
DAC+SB.77.1-x1-0	DAC+SB.77.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.77.2-x1-0	DAC+SB.77.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.78.1-x1-0	DAC+SB.78.1-x1-0	0.331817087668181	-1.00974359861738	3.51248046221081	-0.287473086179626	0.773750106742727	1
DAC+SB.83.1-x1-0	DAC+SB.83.1-x1-0	0.574922393613196	-0.22820704910167	2.25684594688686	-0.101117690118133	0.919457035338013	1
DAC+SB.84.1-x1-0	DAC+SB.84.1-x1-0	12.012575557399	0.246456998894505	0.889318826968367	0.277130081384492	0.781680224452101	0.99977667339471
DAC+SB.84.2-x1-0	DAC+SB.84.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.85.1-x1-0	DAC+SB.85.1-x1-0	3.15136869538633	-0.599523762350228	1.07733927027785	-0.556485574127088	0.577878953491023	1
DAC+SB.88.1-x1-0	DAC+SB.88.1-x1-0	20.3514702689079	-0.916002620276335	0.987927238679847	-0.927196441612822	0.353824550037586	0.99977667339471
DAC+SB.88.2-x1-0	DAC+SB.88.2-x1-0	14.1947008289596	1.60766497537209	2.09383772345201	0.767807818803461	0.442601368656482	0.99977667339471
DAC+SB.92.1-x1-0	DAC+SB.92.1-x1-0	1.47864008292697	-1.01678746771302	1.66671171900955	-0.610055989956827	0.541824718808108	1
DAC+SB.93.1-x1-0	DAC+SB.93.1-x1-0	0.929289777491186	0.710568212362975	1.98237307068744	0.358443232946343	0.720011642802681	1
DAC+SB.94.2-x1-0	DAC+SB.94.2-x1-0	4.22264633869079	0.227677807976963	1.50781009860656	0.150998993963081	0.879976509500274	1
DAC+SB.94.1-x1-0	DAC+SB.94.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.95.1-x1-0	DAC+SB.95.1-x1-0	0.415648223727179	-0.307616605382692	3.47769280232893	-0.0884542203315623	0.929515668540454	1
DAC+SB.95.2-x1-0	DAC+SB.95.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.100.1-x1-0	DAC+SB.100.1-x1-0	14.3762901413728	0.494873867881296	0.506946586734387	0.976185422352165	0.328972585896859	0.998510443699687
DAC+SB.101.1-x1-0	DAC+SB.101.1-x1-0	21.5879537732287	0.100386062664831	0.54714521852507	0.183472429742583	0.854427349452435	0.99977667339471
DAC+SB.103.2-x1-0	DAC+SB.103.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.103.3-x1-0	DAC+SB.103.3-x1-0	0	0	NA	NA	NA	1
STRG.32.1-x3-0	STRG.32.1-x3-0	13.7912384323217	0.302583026947883	3.1546696493121	0.0959159153205988	0.923587354261714	0.99977667339471
STRG.32.2-x3-0	STRG.32.2-x3-0	0	0	NA	NA	NA	1
DAC+SB.103.1-x1-0	DAC+SB.103.1-x1-0	29.5287218548704	0.863905787933682	1.28095012370387	0.674425781259691	0.500040656535786	0.99977667339471
DAC+SB.104.1-x1-0	DAC+SB.104.1-x1-0	0.0770486784306508	-0.924003088679522	4.04461600556237	-0.228452611424369	0.819294392618224	1
DAC+SB.105.1-x1-0	DAC+SB.105.1-x1-0	3.72650899749831	-0.391970708467048	1.18552022800549	-0.330631818173611	0.74092260924935	1
DAC+SB.106.1-x1-0	DAC+SB.106.1-x1-0	3.63107122672779	-0.584278524527244	1.8581083239652	-0.314448042125118	0.753180772811367	1
DAC+SB.108.1-x1-0	DAC+SB.108.1-x1-0	0.427607494380241	1.41953727963638	3.95646959774847	0.358788875932272	0.719753035083561	1
DAC+SB.108.2-x1-0	DAC+SB.108.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.110.1-x1-0	DAC+SB.110.1-x1-0	0.701117631899181	3.13085636033943	3.97943999392169	0.786758027541961	0.431423528064356	1
STRG.34.1-x3-0	STRG.34.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.110.3-x1-0	DAC+SB.110.3-x1-0	3.21737734459908	-1.88942980872421	2.79105551704903	-0.676958877092454	0.498432046226678	1
DAC+SB.110.2-x1-0	DAC+SB.110.2-x1-0	4.20919092572408	-1.16616119871671	2.44780548920261	-0.476410892883729	0.633781675798068	1
DAC+SB.112.1-x1-0	DAC+SB.112.1-x1-0	1.49173019916903	0.609535121202811	2.2604714606541	0.269649554003408	0.787429873333348	1
DAC+SB.118.1-x1-0	DAC+SB.118.1-x1-0	3.16574879786295	-0.0683009067464263	1.1461512295495	-0.059591531191981	0.952480963512751	1
DAC+SB.119.1-x1-0	DAC+SB.119.1-x1-0	0.17391116287848	0.02621240499461	4.00103408376916	0.00655140757259351	0.994772770439263	1
DAC+SB.120.1-x1-0	DAC+SB.120.1-x1-0	2.30827841525302	1.02762070082587	1.56250347042304	0.657675787784104	0.510746483702356	1
DAC+SB.121.1-x1-0	DAC+SB.121.1-x1-0	4.25603463133134	-1.60222490418938	1.19498146091426	-1.3407947793295	0.179987091705311	1
