gene_name	log2FoldChange
KCNQ1	-4.1963974387389
TRAPPC3	1.57555821418219
THRAP3	-0.494908607546809
PHPT1	-1.60205340249705
ENTPD2	-1.03678752173941
LY75	-1.29508069253556
ARID4B	0.849888550435867
OPN3	1.827953197987
SDCCAG8	1.39816947233464
PTPRN	0.765952985704867
HHAT	4.50914889848951
KIF1B	2.84700281036639
FOXC1	4.61321477769541
TBC1D22A	0.55786783242581
SYNE2	-0.783115770776053
PLEKHH1	-1.23642707130814
ATP9A	10.6472869114053
SPO11	0
CBLN4	0
CHRDL2	-4.75053545256043
FAM168A	0.850607120999254
RELT	1.25055090685966
GALC	-0.181890697115153
NOP58	-1.72939885721688
SZRD1	0.573750682766195
KCNH2	-5.64061645677682
CUL1	-0.127581206363723
FAM114A2	1.74041825164498
CYFIP2	-0.0902289904308873
TAB2	1.22299235771828
GINM1	-0.274437459508496
EIF2AK2	0.334590969069718
USP36	-0.303517775565294
KMT2C	-0.0384094782849076
MCOLN3	0.33503441112984
CCDC85A	0
PUM2	0.316661931764591
MRPL43	-0.219305919876464
ITIH4	4.07003036853366
ITIH1	-0.780837245629806
HPF1	-1.41941657305287
ZFR	0.951667429136475
ZNF280C	-1.24847138599286
NPFFR2	-4.58541008472807
PHF21B	0
TRAF1	1.18677328673356
RC3H2	0.726173132502986
IL17RB	3.63275155005017
TRAF3IP2	1.48627312775578
GYG2	-1.03676397355776
DCBLD2	-0.241425798450185
SERPINB3	-1.03673619418314
SOAT1	2.35636281223513
PKP2	-5.1004400055782
MSH4	-2.51248555871285
F7	-0.486418451143896
GDI2	-0.123264582694703
PRDM1	2.74204474820402
ATG5	-0.104797338917229
TMCC3	5.20873272537107
PITHD1	-0.495286828005428
MTA3	0.913361941664413
USP13	-1.2219638880427
ATP11B	1.35218773539213
LAMC2	-1.89842332513933
CDK14	1.59626286022671
SEC61A1	1.41221866300945
PPP1R12A	-0.419651455318617
RASGRF1	3.98407368858253
CAMK2B	6.79726943668563
CROCC	-0.964658670919206
POLR3E	-0.655345913523908
ATP2B4	1.99401916362525
ZC3H11A	1.07526149119379
RIOK2	-0.493212112568871
YIPF1	2.50312666108085
NDC1	-0.730946459354203
DGKG	-1.7556012488452
FLYWCH1	-0.188252556034439
UNKL	1.26085523064226
TBXAS1	2.16955309415119
PARP12	1.06469083795195
ALDH18A1	-0.792165631152081
TARBP1	-0.76847356098426
GATB	0.491921238720065
MXD1	1.4889547306394
CDK17	3.43605120814115
