GO	[-8.26 -0.76]	[-0.76 -0.30]	[-0.30 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.41]	[0.41 1.02]	[1.02 7.81]
chr6q22 chr6q22	-0.291	-0.417	-0.291	0.439	4.894	-1.784	-1.380	-0.581	0.594	-1.053	0.591
chr12p12 chr12p12	0.667	-0.385	0.872	1.372	-0.385	-2.428	3.105	-0.770	-1.049	-1.049	-0.386
chr5p13 chr5p13	-0.759	1.165	0.433	0.433	-0.411	-2.096	3.356	-0.759	-0.565	-1.657	0.942
chr3q26 chr3q26	-0.293	0.526	-1.041	-0.658	0.526	4.768	-0.512	-1.895	-0.834	-0.658	0.982
chr13q22 chr13q22	1.004	-0.470	-0.737	-0.737	2.093	2.538	-1.121	0.499	-0.737	-0.470	-1.678
chr7p12 chr7p12	0.588	-0.644	-1.534	0.588	1.503	1.899	-2.361	0.380	-0.235	-1.005	-0.235
chr4q31 chr4q31	1.589	-0.481	-0.357	-0.481	-0.634	-1.314	5.006	-1.314	-0.357	-0.357	-0.483
chr3p22 chr3p22	-0.955	-0.327	-0.580	0.276	0.276	2.432	-3.857	-0.750	0.630	0.787	1.157
chr3p24 chr3p24	0.749	-0.335	-0.695	-1.301	1.224	3.782	-1.736	-0.960	0.398	-0.695	0.268
chr6q25 chr6q25	0.399	0.527	0.675	-0.741	4.457	-0.566	-1.878	-0.741	0.527	-1.516	-0.312
chr15q25 chr15q25	0.742	-0.275	0.923	-0.884	-0.380	-4.899	1.126	0.445	-0.380	1.126	-0.382
chr14q21 chr14q21	-0.301	-0.956	0.857	-0.457	-0.457	-2.507	2.883	0.857	0.857	-0.301	-1.337
chr1q22 chr1q22	-0.389	1.375	1.375	-0.908	-0.389	-1.330	-2.817	0.373	0.373	1.375	-0.241
chr2q33 chr2q33	-1.025	-0.398	0.507	-0.826	1.762	2.008	-3.051	-1.256	0.636	0.636	0.394
chr4p15 chr4p15	-0.455	-0.628	0.282	-0.846	-1.118	-1.454	4.687	-0.321	-0.628	0.545	1.133
chr7p21 chr7p21	0.599	0.412	0.412	-0.774	0.265	2.094	-3.149	1.387	-0.774	-0.340	-0.776
chr10q24 chr10q24	1.005	0.419	0.832	0.419	-0.645	-1.546	-4.442	0.832	1.005	0.419	-0.287
chr11q22 chr11q22	0.313	-0.432	0.313	0.840	0.313	-2.160	4.055	-0.623	-0.874	-1.199	0.455
chr16q23 chr16q23	0.849	0.849	-0.397	-0.397	-1.885	-3.215	1.340	0.335	-0.568	0.335	1.336
chr8p12 chr8p12	1.132	0.250	-0.359	-0.359	-0.359	-0.859	4.783	-1.270	-0.859	-0.859	0.249
chr5q14 chr5q14	-0.759	0.311	0.433	-1.000	0.311	-1.657	5.075	-0.291	-0.291	0.433	-1.004
chr5q33 chr5q33	-1.164	0.419	0.291	0.762	-0.312	-4.435	0.762	0.419	1.219	0.291	0.289
chr8q22 chr8q22	-0.680	0.583	1.861	-1.425	-0.514	-1.425	3.490	0.445	-0.514	-0.884	-0.382
chr13q13 chr13q13	1.024	-0.558	-0.818	0.382	0.558	3.265	-1.641	-1.169	-0.368	-1.169	0.770
chr3q25 chr3q25	-0.402	0.554	-0.540	0.554	-2.250	4.161	-0.919	-0.919	-0.540	0.708	0.309
chr15q26 chr15q26	0.949	-0.309	-0.411	-0.535	-2.325	-2.325	2.606	0.503	-0.411	1.134	0.291
chr15q21 chr15q21	-0.337	1.139	1.139	-0.972	-0.972	-2.244	2.703	-0.451	-1.218	0.616	0.363
chrXq22 chrXq22	0.994	-1.252	-0.328	3.568	0.378	0.500	-2.363	-0.991	-0.446	-0.446	0.498
chr7q31 chr7q31	-0.388	-0.961	0.788	0.332	0.990	3.074	-2.567	-0.961	-0.725	0.332	0.330
