,max pipeline,iAnalyzeR
CELSR2,-0.127753134215,-0.382405454851183
FOXD2,-0.00993755375491,-1.0802058845009799
FAM180A,0.0692817249344,-0.5756073808806539
MTIF3,0.0198689868127,-1.61067478916307
RP9,-0.0151095174897,-1.65723687445986
KCTD19,-0.060616272011,-2.97607912368751
BAAT,0.0327700517496,-3.2145078365523303
GLIS3,0.0333250897577,-1.5073218966498203
PHF7,-0.00980021755012,-1.18497271910455
PLA1A,-0.138090540306,-0.699012309777361
GPATCH3,-0.0280010403796,-0.0836536993754855
PQLC2,0.0365375897309,-2.98575649220093
RFPL4B,-0.0675296491765,-4.43141592563565
ZNF35,-0.0729428201543,-2.1275986256637998
SSX2IP,-0.0318691302897,0.687794405876116
C15orf57,-0.131961675316,-4.54674097706533
EHD3,-0.0362421222656,-2.18394712063341
CDH19,0.039411730037,-3.2292874075905003
FNBP4,-0.113957985442,-1.32844705113036
S100A13,-0.0726382338727,-1.60742762284383
CKB,0.0291897068688,0.966799220662184
MAGEB5,-0.0365397789583,-1.83522493135115
APC2,0.055469349445,1.1316663152218
DPP7,-0.123428263481,-1.0882296570125698
ZHX1-C8ORF76,0.0463044745095,-2.9995417504381696
UBFD1,0.00866033837486,-0.8865574290139058
MS4A10,0.0260966603533,0.5644237256446191
MAGEA2,0.0247455436674,-1.05886268495021
NSF,0.11624253694,-1.4870334286345401
PIGZ,0.0881119592015,-0.357465068654326
C6orf106,0.0127868902892,-0.741301306567346
IL4I1,-0.0246165462391,-1.9022576778402298
GRM5,-0.0349186647395,-1.5416587021661898
HGF,0.0487371655076,-3.4111890194444103
HYAL4,0.0311934719311,0.0773701784202924
GJB2,-0.0800128474937,0.679872904538292
CEBPG,-0.0558163438278,-1.6154851476007699
C17orf85,0.00760409274952,-3.6635893677646805
CCDC42,0.0479908817775,-0.9498684670680859
GABRE,-0.00481869990261,-1.9713072373520701
TCIRG1,0.0870657590742,-2.65771740121453
GYS1,-0.170926342163,-2.05338627607048
MAP3K4,0.109713712886,1.6984320996330602
MED26,0.00921528632296,-1.58811879396981
IVNS1ABP,0.0555603984585,-1.0929486109574
NR0B2,0.0415360433677,0.19152500448067003
FGF3,-0.00699031244079,-1.04812462563961
FPR1,0.0158827239461,-1.76303524533629
KRTAP4-4,-0.0186078162424,-1.20109047711569
CDC14A,0.0224755372784,-3.65727121642227
FOXO4,0.0627636198416,-1.94099705417909
LRRC59,-0.0350264553952,1.2894653836396002
OGDH,0.0316017712028,-0.156029039907971
MROH2A,0.0264956530608,-0.5325015689395279
SOX17,-0.0112506484174,-1.44535163284116
COL5A1,0.103958035772,-2.43742287929723
MRRF,-0.0148224236613,-2.21550727325695
OXT,0.0352404029599,-2.99421548665585
CHSY3,-0.0170935615901,-3.13362316943403
TSG101,-0.0896923752632,-3.1701871465780402
TLR9,-0.00151913077386,-1.01659903399456
FOXJ2,0.0120118415635,-2.56129556253611
DGKI,-0.0457631385849,-0.591974763598631
PTPRO,0.0646447242179,-1.02865913801893
TSPO2,-0.0819364387107,-0.45872976527292797
SLAMF6,-0.104671822718,-1.1380335539580702
LHFPL2,0.0124835527233,-1.3649216226613798
POU5F2,0.0329006659265,-0.599632920407163
FKBP1B,-0.0283019371914,-2.03906695081532
ZNF385A,0.0885790102272,-1.1664529135266102
KRT85,-0.0729423459463,-1.9671738226532
MTPAP,0.0309971582405,-1.5776311992304999
RFX6,0.0850309380194,1.12186554458679
LRRTM2,0.0874300426964,-0.802967553020142
ZNF776,0.000424942695985,-3.36353933054597
FGF2,-0.116179500773,0.33314252756954
PCDHB15,0.0122876979614,-1.4201705814379901
SKIDA1,0.06234034739,-0.588132120266363
CCSAP,0.120644882683,-0.739607550682782
OLFM1,0.0826585748484,-0.44921081368670096
GID8,0.0493208223727,-0.844519069130269
DMWD,0.0123982272685,3.2147988172424604
PTPN9,-0.0418357606929,2.1318943707574203
SCYL2,-0.0238998717062,-2.27676227651205
STOML3,-0.0367516730352,-1.56854534738367
STIL,0.0570589661912,-2.5393990017241497
PTGIS,0.0945680041405,-2.4057191323642404
ZNF230,-0.00159529854634,-0.918831660453373
NPHP3,0.00351387092592,-2.72288388307842
TIMM23B,-0.0448834065967,-1.33037599071728
CD93,0.000716604781482,-3.45173691788432
AP1B1,-0.0390673253028,-0.45416681775914
CLCN3,-0.0191293064851,0.8553539089584449
SPHKAP,-0.0788007769055,2.54819654851438
STOX1,-0.0370807184987,-1.16726837948678
NUDT16L1,0.066694720294,-0.974670970018675
DLX1,-0.0900719642791,-1.1002393661771102
R3HDM1,0.0242511362888,-1.84187777436526
SIPA1L3,-0.0383941782783,-0.0656784053328336
PPM1J,-0.0563321935505,-1.6957821631352
ABCG4,0.0239782565466,-0.155547921523637
CCR7,-0.0503798278822,-1.44297470616524
ENPP4,-0.015894023822,-3.7191050239590497
TMOD3,-0.085132986618,-1.67962473117976
C9orf135,0.0577860474421,-0.683581997529241
DLAT,0.119822446248,-1.21217360113323
DPP4,0.122986267447,-0.753694799241186
MANBA,0.103238855196,-1.8016707325165
OR10G2,-0.0360595394615,-0.23973118757096498
PAGE1,0.0963799204951,-0.164867886354867
PRPF31,-0.0484303693816,-0.9968849222110451
CCR1,0.0782809068916,-2.4644618525121498
MEIS3,-0.0488997459832,-1.5900613351476398
TRADD,0.0156663059987,0.20092695954046302
MOGAT2,0.00366962201977,-1.6943147308816497
EIF4E1B,-0.0344348791601,-0.601582180219743
SARM1,-0.0304796821227,3.07362359401436
HERPUD1,-0.0681872496204,-2.44780184962636
OTUD7A,0.0509418693656,-0.644811050126617
ZNF560,0.067999354598,-0.9507586558658171
SMYD3,0.074354062561,-2.71381116714966
DIDO1,0.0984084794566,0.17855299259667395
METTL15,-0.0067247655607,-1.2872641035813002
MYL6,0.00359819029948,-2.01574614433498
ARNTL,-0.0488860679434,1.48671582157901
CSRNP1,-0.0888591687865,0.410148673122839
GIPC1,-0.123870918824,-2.7468679700974703
TBL1Y,0.00688348091383,-0.8558290120630591
ACBD7,-0.0771491826595,-1.5215685439643503
CSMD2,0.106882276646,-2.35318211129034
NFE2L2,0.0446240130889,0.0891459278034031
COPA,-0.0567927146631,-2.6079455739108797
ORC4,0.0664330173304,-3.86701291857729
SLC35C2,-0.0318305515097,-2.89509620684201
UBA6,0.0331735683121,-1.2304563359282
MCM8,0.00580624021087,-1.01286479290982
IGFBP5,-0.0238020214618,-1.00264476519079
GATA1,0.0815994853545,-1.80706486822243
KCNJ14,-0.0230279503959,-0.621423721630928
MPV17L,-0.0381946833818,1.5882629163830801
KIF26B,-0.059016949351,-1.28251682310849
STRAP,-0.113105251435,-3.22701769107023
COX7B2,0.034772279025,2.01247997003515
PRKD1,0.0729782136712,-0.35416915803646604
ABL1,-0.0408842545642,-0.809035808453196
CLUAP1,-0.111207176885,-0.723717376610311
MRGPRX4,0.0215876739402,-0.177842658222351
SPDYE4,-0.00565427721487,-3.0705682103308902
TMEM187,-0.0443622247486,0.33812319265269397
RAPGEF5,0.0125261238464,-3.17581500405389
ARL13B,-0.00483049525593,-1.55585140446475
HDHD2,-0.0553737674734,0.16859909475420598
CNDP1,0.0828772513445,-1.2166142712001102
GALK2,0.129698143333,-1.57810767492313
METTL9,-0.232190605887,-0.0882033750443443
OR4P4,0.0490514033158,-0.7714326363586078
ATP6V0A2,-0.136268440611,-0.8354759768267909
BRE,-0.0507055476294,-3.9240925376534506
HSPA4,-0.00995647973251,2.91678098609592
LRRC58,-0.0109856707332,-2.27899432662726
GLRX2,0.0330459437282,-2.69558393061459
DNAH9,0.0567604235338,-2.25660041379704
DNAJC11,0.0905965697466,-1.42804540249971
MBD3L1,0.0176598180645,1.18818750548193
A1BG,-0.0442380268664,-2.82511022536372
IRF2BP1,0.0795885490368,-1.07549988444454
EIF4H,0.0101515712351,-2.13331175370435
KIAA0355,0.00369777564493,-0.7466908556309471
NECAB3,-0.0554315344037,-1.7080867075150001
NEFH,-0.0775686736025,-1.8601283618115698
MS4A3,0.0280845215608,0.0375089637000386
RFC2,0.0489713035412,-0.650294713525109
SERTAD3,0.0705145058915,-0.9628309354983091
TFEB,0.0152289206139,-0.795227699879726
PTGER1,0.0458185768551,-1.0066924417433298
FAM227B,0.00311933770966,-1.73922039917573
LRRC30,0.0116175316769,0.0998933417670936
LUZP4,0.0261779171931,0.618772808827472
DCAF17,-0.103724039276,-1.94895549034702
BTBD1,0.156288088712,2.21687127596346
DTD1,-0.00151728691417,-2.83200899900249
ADAMTS13,0.0565008846378,-3.1503512078291296
ZNF777,-0.125795611302,-1.4087861932009098
ANO1,0.038860095319,-3.4260249408541297
RABEP2,-0.115516736794,-2.60921516110964
LEFTY2,0.0322088364394,-1.4370643963152798
RNF149,0.0888925866072,-3.1415985383457703
PVALB,0.0317267481217,0.211447751573158
CD68,0.0762526833528,-0.621567577243163
ARMS2,0.0859989268241,-3.4638479687169803
ZNF821,0.0629339911717,-2.7328681709841205
CD164,-0.114353550206,1.3503599579454602
FILIP1L,-0.0496682158057,-0.8827468593713829
RASSF1,0.0182447282508,-0.832808617769185
TRMT10A,0.0805018238048,-1.6853044699058402
OR5M1,-0.300048038538,-1.62010095145138
OR5C1,0.0060743218591,-0.9401636100075591
RILP,-0.0136140446942,-3.37696814161327
HOXB1,-0.0350914619364,-0.8167715128344128
OR1L8,0.108137832018,-0.9708828205039041
EXOC3L1,0.00313731730625,0.6011882433556021
GYG1,-0.0250560649455,-3.17141458991871
SPIN2B,0.0568245150115,1.0117569666001098
VCAN,-0.0125791216386,-2.42325028320649
STAG3,-0.0697173163545,-0.16317358723079198
HOXA11,0.0245129225451,-1.36241540089392
APEX1,0.0173796031025,-0.0359439168361441
DNMT3B,0.0915557513424,-0.591675875882924
CLUL1,0.0488751242265,-1.7383419405703702
DNTTIP1,-0.028635885264,-0.7815392468033641
PIWIL3,-0.0207217581885,-1.82444901024743
GRAP,-0.0244213305799,-1.2197978944827699
TBL3,-0.0595506113807,-1.2795545336211398
TNNI2,0.0148036773774,-3.1250511856421697
UBE2D4,-0.036353113374,-2.10301622288738
ANPEP,-0.0309500089494,-3.7736771290303905
SEMA4D,0.0178830170707,0.7015641159502
ATOX1,0.014644724497,-2.3137940547852502
MAPKAPK5,-0.0190694224313,-2.49148411655154
SERPINA7,0.102559567295,-2.15966798392276
WDR70,-0.0271544688107,0.694726244944222
SAMHD1,0.0302186144749,-0.9927858016149251
NEUROD4,-0.0098067673353,-1.1720001129419
ANO4,0.0213667270546,-3.5556097405703397
SP140L,-0.0131617649245,-1.3192064220496202
C2orf70,-0.0823965765672,-0.763370154104165
CDKL5,0.0454562151766,1.66105429629811
SLK,-0.0802700190297,-2.2189548815303
ATXN7L3,-0.0077011281604,-1.3805148317241398
ARHGAP33,0.00320311393008,-0.795553130382422
IGF1R,0.0369539164387,-1.33571356120926
KLHL3,0.0570258683003,2.38097673500922
TMEM168,0.0538231728544,-2.7017027718375295
COA3,-0.0377134474152,-2.60302721727883
UBE2A,-0.0515686726058,-2.7574746835487796
PGLYRP2,-0.0132747546634,0.7136780808959341
CCL2,0.101757074828,-1.56854534738367
ELMOD3,-0.0454867281407,-1.99254380066115
AKR1D1,-0.0324726761677,-2.35993694871462
NT5M,-0.0809404250901,0.20525119092135602
GPR179,0.029828384397,1.1003529424966698
FOXN4,0.025029850561,-2.85544399804598
B4GALT7,-0.172282645267,-0.461676980241879
MTDH,0.100381657461,-1.0356737262916
STAT6,0.0540046165358,-2.27561664777232
TRPM6,-0.0135735530738,0.552530548605436
DDX31,-0.0129053289663,0.09029305320346301
HMGB1,-0.0291789182407,-3.5442978011369903
ACVR1B,0.0413183900648,-0.384634736603255
FOXJ1,0.00381364977897,-0.140047671742824
INHBB,0.0172131317103,3.59816838821075
C11orf31,0.0408101742941,-0.638610851831126
LOC100288524,-0.148371859956,1.43020122481104
PHOX2A,0.0658660249457,-4.823101066392581
CLCN2,0.0159752195401,-1.73972377663127
BBS4,-0.0508548333887,3.88677601785114
UBXN6,-0.0707740905997,0.41909392318050703
FRRS1,-0.0503334734036,-1.84198105211988
RTP4,0.0708490750195,-0.24771515781166603
PSMD14,0.0251309496324,-1.1445468941061998
TP53INP2,0.100796382899,-0.970540849946321
TRIM4,0.0428083373703,1.24458323407739
WFDC9,-0.0371507083879,1.2461682372359801
JOSD2,0.0986907737624,-0.579512353720531
SCLT1,0.0485731437974,-1.63007753926108
KCTD6,-0.00956331340964,-0.503766656876158
GAPDHS,-0.0807930407737,-4.15964590151781
SECISBP2,0.0618240694054,0.53972519832983
ST5,0.0410030269525,-1.4517490341430301
DCAF4L1,-0.0614393364736,-0.5112103981714919
MESDC2,-0.00742245018994,-1.1201347480085702
MTHFD1,-0.0546798375197,-3.1434351626716204
NRSN1,-0.0322902020649,0.48927533989729605
OR8D1,0.0135535905312,-1.3092220573834
FMO2,-0.0622139342399,-0.4255796033384871
PPIC,0.014057199369,-2.1196205656143303
ERLIN1,-0.0183227869411,-0.581373094820801
OLIG2,-0.0370621045299,-2.59709395597777
HIST1H3F,-0.0416093568437,-0.209664819119537
RNF181,0.0451770501706,-2.4616301434671604
ZNF264,-0.0112483394815,-3.5708602460307097
SSX7,-0.09182079973,-1.99802813291428
HES4,0.00315073729424,-2.51785515455311
SYN3,-0.0295476717178,-0.21967074849870802
PPIL6,0.0736506744915,-3.42773058005467
TBC1D13,-0.0551647679548,1.6265454918337199
KIAA0930,0.0354132186515,1.97571389099098
DHX40,-0.0802777490175,-3.2926063264454504
CALR,-0.0121803995885,0.20117783338012601
DCLRE1C,-0.0190353090291,-1.27524728139834
ARHGEF17,0.0599524987991,-2.36102659774425
C19orf12,0.0947274029163,-1.03305580048109
LGR5,-0.023952565141,0.307452321642547
POMGNT1,0.0146982714859,-3.92844129247005
MCCC2,-0.0729516722669,-1.2933370717794799
PDLIM7,0.0382530890649,-2.9273779744330497
PPIP5K1,0.0901153894259,-1.03239825094063
RALA,0.0310795645394,-0.27516586109040997
INPPL1,-0.0198442125434,-1.13393865115135
KDM3A,0.153827538627,-1.8757460420620302
CALML5,-0.0288999635726,-1.6160379893426
GPSM2,0.0764931473422,-1.8598718139545198
CYTH2,0.0143140903657,1.40772990450838
SEMA3G,-0.0183101630426,-3.54643064840442
SLC25A33,-0.0183632165725,-0.5217157937765511
PHF3,0.0633595672531,0.7525874359342181
C8orf87,0.00278340555294,-2.01355469297297
FLYWCH1,-0.00679345391789,-1.4634095309558701
FRS2,-0.0677103281572,1.11366182131248
SMYD2,0.0820413152994,-1.3586716994590402
OAZ2,-0.00521740353961,-0.415227784491389
SSH3,0.12126253853,-2.71183025662642
HSPB1,-0.0753053724887,-0.6258564273468471
MYL12A,-0.051476234418,-0.585870155301852
BTBD16,0.126783326821,-1.56017575595548
ALPK3,-0.00175527722909,2.59670032219908
LPCAT1,0.0170546489717,0.16443205824644
FHL1,0.00998880881142,-1.25340947241609
MOB3A,-0.00220996041201,0.36698954340818
NDUFB1,0.127317698832,-1.48403215267048
TNRC18,0.079758791856,0.21344345818433602
ZMYM3,0.0513274821829,-2.65238279325689
C2orf57,-0.107235408081,-1.3393903102601898
RGS6,0.0386207943962,0.190827676746838
ZNF438,0.0533454442207,0.208501421673145
MRPS30,0.0471240827132,-0.47406823257470004
NPNT,-0.0156051561074,0.591682255360574
NR2E3,0.054028098807,2.60360260657424
PCP4,-0.00823953175596,0.078633499212059
GRIN3A,-0.0726161743949,-0.953174550435924
FFAR2,0.0302056535293,2.2014183332444
AADACL2,-0.0133188354617,-2.4902313354618304
FLCN,-0.0292713051066,-1.8486832490098402
IL13RA2,0.0254237519995,-0.856834479724816
PCYOX1,-0.0337571532715,-1.6483102624236399
ROPN1L,-0.0409376227171,-0.41588849042435205
PCDHGA8,-0.0442639729137,-0.0214862511826045
GRHPR,-0.0131625896856,-1.7049197812469399
ZNF628,0.155532436063,-0.8996493490784471
KIAA1468,-0.0257888476805,2.41260891623608
LZTS1,0.0634464765282,-2.68391036001335
GPNMB,0.0353803026354,0.7438828722748441
OPRL1,0.0345703760317,-0.23380434865855998
WDR83,0.066248895646,-3.38486731922283
TMEM169,0.0648786976173,-1.62818947259701
ESYT1,0.135631713902,-0.962824286495719
CPEB3,0.0047258187652,-1.91888633626416
KRTAP9-1,-0.0238274395849,-1.53948873685096
SBNO1,0.0360372918019,1.46843826998723
CDHR4,-0.0286047113851,1.29799441030821
MYL10,0.0736597996353,2.14090702218477
DND1,-0.070271596718,5.0212764342270395
SLC25A42,-0.0580425614698,1.9251537015004099
PITRM1,0.217599025844,-1.12705503849784
GOLGA8B,0.0672053639189,-0.27565893262780794
FKBP2,0.0387407051724,0.8470454567259821
CUL3,0.00177146344894,-0.946092510051912
ERP44,-0.0562903555919,-1.07193447931999
OR4A16,0.0408796616348,-5.39665050747497
P4HA1,-0.0144603011495,-0.6377359404751191
SLC25A1,0.241086368725,-3.1979578122895096
SCP2,0.11173068026,-1.6923840299156103
SPANXN2,-0.0570633684793,-1.5569116743199198
UCP2,-0.00178967446281,-2.9650915979911603
LOC643669,-0.0141440658669,-0.8096263230474859
ZNF770,0.0446568499363,-2.46125645232563
PPP1R3G,0.143736980972,-2.3377698589294402
ZKSCAN5,-0.0755072506652,-1.72644778792815
BEST2,-0.0667128805665,-0.543695074761611
RNF113B,-0.0288576351706,-0.8379781150107071
ANKRD16,0.109101050351,-3.0813465565507
BCL11A,-0.0336243177902,-2.31662935671854
CLPSL1,-0.0290165453146,-2.3159494820779503
TP53I3,0.0540639959639,-0.6749494060147211
BAALC,0.0788069741317,-1.38063479594239
SNCA,0.0110634838482,-2.22808556324222
ZSCAN16,0.0581958686179,-2.48405321170037
THRB,0.033097345052,-1.87556945868523
CLP1,-0.025951504964,1.7457422213812601
GSTA4,-0.111028395001,-1.55360196683188
CACNA2D1,-0.0401942986764,-0.437912807790391
SNRPE,-0.0385296038083,-1.35523261060664
OR5P2,-0.00566026830254,-0.35393125103186296
ZBTB4,0.0593889750672,-1.74114228287274
ZNF585B,-0.0148128287051,-2.21264920459409
DPEP1,-0.117029506646,-1.1218602289843
CA11,0.12382082831,-1.26929839529793
AGR2,-0.019445420714,0.516338105885715
DOCK2,0.179794877087,0.337713444453613
LRFN5,-0.0160187570961,-2.05149854570792
OPALIN,0.0374502443906,-2.3416981956047596
TTC31,-0.0289557247101,-1.4761110424255601
TF,-0.0386482214549,-1.56054976134725
ZBTB1,0.0192399604017,-0.8930081271102321
FBXL20,-0.0391989327375,-1.80665342472559
TBCCD1,0.00264853809291,1.0673983588102098
TMEM38B,-0.0353279582538,0.927766344275968
C12orf80,0.0484739368288,-3.39900803203041
HES2,-0.0804686402162,1.0377850880842299
CLPTM1,0.0905854760731,-0.8248720250000121
MMP15,0.0378506284293,-0.429521693046747
BOD1L1,0.0901471559512,-1.33571356120926
MUC12,-0.199288163914,-1.80447753574826
FAM159A,-0.028130191934,-0.9943042853790299
KREMEN2,-0.068115450367,-1.14492820640287
KRT37,0.00903034730004,-2.9907783480667205
ARRB1,-0.0703646755032,-0.550511498751576
SLC45A4,0.0461465604787,-0.8419380737463761
SPANXN5,0.0314396562026,-0.6361985448319879
THNSL2,0.0156011660455,-4.4765038151641905
PEX1,0.0117161035135,3.31515817046407
AHCYL2,0.0229142839816,-0.0635135057113228
C1orf195,0.0296874163563,-1.9781338486159
TBR1,0.117590133394,-3.4480293823196604
MBIP,0.0589827677812,-1.4431396838079
TREM1,-0.0399893703209,-0.19773131579873604
FNIP2,-0.00599070633853,2.54601323232345
FOLR1,-0.0228718653001,-3.22734715924462
SNAI3,0.0454092268888,0.8492664552584099
ECHS1,0.0921187100134,-2.51040422178248
ELL3,0.0680116337374,-0.0809655457414598
EEF1B2,0.0455354287142,-0.269868036964848
NDUFAF1,0.0378297725625,-1.76482895662124
CLVS2,-0.00863988395194,-1.15392218979168
PRPF40B,-0.0589338848371,1.78025310599622
RELT,-0.128080165699,-2.06775498612443
KCNK2,0.0970975445516,-1.9931868562156103
FAT3,-0.0269753516362,-1.48803299186613
CDR2,-0.0104781375265,-0.560277731400069
LSM7,-0.103651276632,-1.48489825590642
PLCB1,-0.146499676282,-1.38191872820205
LRIT1,0.130066856509,-3.3340800937466497
KCNJ10,-0.000437822889523,-1.1192256785888
GOT2,-0.0486998952588,-0.8891303239941379
DST,0.0346426120565,-1.4721537669222
KSR1,0.0243877481581,-0.515729584664623
VCP,-0.0446107672384,-2.9133315479381
ZNF670,-0.0366005476743,-1.5071169734908998
IGFLR1,-0.0500315965875,-1.5392583415948702
ORC1,0.0506872884712,-2.9509862451033997
ZNF24,0.0826793412137,-0.133210143535786
ZNF32,0.0196261198774,-3.9501904253507996
ZNF507,0.0537102334586,-0.0184871714936289
ROBO1,-0.0876972822735,-1.44535163284116
KRT84,-0.0245712147308,-0.904643016771654
ZNF808,-0.0367651715853,-1.40971401431108
TOR4A,-0.00805379679703,-2.69843374184948
CD70,-0.0237089732521,-0.397388996335824
DNAJB4,-0.0833398321931,0.9899726309331709
SFRP1,0.0928266042165,-3.9936988810047502
SETD2,0.0368638080601,-1.2881488314595602
FBXO45,-0.0119753763005,-2.88235026706312
ZNF197,0.0717700997582,-2.6715791304423298
ACTL6B,0.0160608581046,1.94571467262135
CLEC14A,-0.0233101625824,-1.04932540381882
LIG4,0.0589613622301,-2.41654225393862
ZNF536,-0.0125319086644,-0.30051889726356396
SSX3,-0.11936295332,-3.0585685061094
F12,0.0284065163267,-0.5200142167563979
FSD2,-0.118352922461,3.2683472861807994
CXCL14,-0.0777894687028,0.11332878790732401
SESN1,0.0391462798741,-4.8538375298295495
CACNA1B,-0.0240605915706,-0.90018195489752
CTSF,0.0220925991934,-0.997343156954794
S100A7A,-0.189327590063,-3.24028309998695
SCT,-0.00489665377332,0.115584905322467
MCHR2,-0.0585984505714,-0.6167825943968179
CH25H,-0.0372974481386,-1.13792138235727
MROH5,0.0658531260579,-0.466828675507314
TRIM21,-0.102764448488,-0.44845040625258403
ZNF396,0.0290734306318,-0.5962282912611421
PZP,0.0512461891447,0.767810178839785
GLDC,-0.0564200715258,-1.9507467358201998
GLRA3,0.300797681199,3.46277756457367
DOK6,0.015164216586,-1.62172402252606
GTF2H3,0.00740910734085,-2.61809119692228
EMILIN2,-0.0155511855036,-1.0377614357077198
ITGA5,0.016743346164,-1.57369866601432
LRRC4C,0.0531472124893,-1.0142200262433398
PLA2G5,-0.044354632443,-0.416667151786817
RNF43,-0.00253360406759,-2.8814083069257905
GXYLT2,-0.01731119434,-1.54577727071366
MAPK9,0.0276244910326,-0.7518091376538449
RASSF7,0.0229993591173,-1.00062435504225
ZFP36L2,-0.0107615368479,-0.6587563650433449
GBA,-0.0673161046359,-0.35275953908723295
BMP1,0.0333562371582,-1.19690796427982
LCN1,0.004383015921,-1.73910913700696
CENPO,-0.110741189776,-0.566190449098466
DPP9,0.0246554861447,-1.31797187491325
TCFL5,0.0648929240848,-0.85701696945251
TFAP2B,0.0210036455253,-0.26809332508857997
ST6GALNAC5,-0.0167290911564,-4.31447189554851
GANC,0.0577363611718,-3.1914756983038504
RPLP0,0.0170949165803,-2.29609790355947
TYMP,0.0629149315849,-2.9994442771475
SMO,0.0510261080906,-3.6682113860389705
LOC100996693,0.016275725189,-0.385692185077657
MAP3K6,-0.0342167135342,-0.955180100960531
CGB7,0.0875409429359,-1.07127289507857
COTL1,0.0300686913232,-2.54159884338607
SP9,0.0343559346704,-2.806106894547
ZNF350,-0.0812880066918,-1.118749497737
GLI2,0.0831224046598,-2.4111010291698998
ZNF407,-0.00224947456455,-0.296590046478399
HN1L,0.0864235135585,-2.54254287563027
METRN,0.158352592985,-0.299821312489455
TMEM232,-0.183244314955,-1.20363358492258
IMPG2,0.0352104604859,-0.567860040044913
LARP4B,-0.0709115183025,-1.52747563074697
NUCKS1,-0.022696399902,-1.59889516580297
UBR4,-0.120067435907,-3.3453831294663297
ZDHHC20,-0.0501623501647,-0.35275953908723495
F8,0.0709095920807,-1.8762761873918403
AFF1,-0.0613131981108,-0.22038354254923898
GPER1,-0.0426332966117,-0.598984619912252
RERE,-0.0254740896527,-1.09422954292887
IFT88,-0.0352617486737,-2.96559729666354
DLX6,-0.0231903838362,0.9154146671193671
ZNF658,0.0918096384218,-1.96737796288607
MFGE8,-0.0323859164689,0.27619936190660604
SBF2,0.0885178225103,-3.27463596842269
KAT7,-0.0268141465364,3.0425166715772702
STK19,0.0119277879964,-2.90943193828337
