GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.06]	[0.06 0.10]	[0.10 0.17]	[0.17 0.62]
KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN	0.319	0.556	-1.627	0.319	1.671	-1.627	1.235	-0.931	-0.931	0.556	0.322
GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP	-0.665	-0.665	3.578	-0.248	0.362	-0.665	0.362	0.763	-0.248	-0.665	-0.662
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_DN GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_DN	0.853	0.572	-0.761	0.351	0.572	-2.006	-1.236	1.190	-1.236	-0.454	1.592
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4_KO_BCELL_DN GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4_KO_BCELL_DN	0.627	-1.922	0.925	0.627	-1.167	-0.413	0.389	1.282	-0.228	-1.922	0.632
GSE13411_NAIVE_VS_MEMORY_BCELL_DN GSE13411_NAIVE_VS_MEMORY_BCELL_DN	-0.474	0.818	-0.271	-0.788	-1.270	-1.270	1.146	3.551	-0.788	-0.474	0.337
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN	-1.065	-0.356	0.253	4.888	0.253	0.253	-0.628	-1.065	0.253	0.453	-1.059
GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP	-0.957	-0.957	-0.957	0.199	1.845	-0.957	0.457	0.199	0.199	1.845	0.200
GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_DN GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_DN	-0.582	1.440	0.608	-1.166	-0.582	-1.166	0.608	0.608	-1.166	1.440	-0.278
GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN	0.502	-0.577	-0.577	-0.998	-1.711	-0.577	2.018	-0.577	0.787	-0.319	2.030
GSE3982_MAST_CELL_VS_TH2_DN GSE3982_MAST_CELL_VS_TH2_DN	-0.788	-0.474	0.333	-2.048	2.445	-1.270	0.333	0.333	1.528	-0.474	0.337
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	1.427	-0.844	2.302	-0.516	-0.302	1.064	-0.302	-0.844	-2.133	-0.516	0.304
