Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R2,VL1-H,,13212,300,44.040,36.837,60.586,17828,N/A,19519,N/A,19991,N/A,3824.01,N/A,21.45,N/A,1434.42,N/A,7.35,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R6,VL1-H,,14884,300,49.613,41.499,68.253,18803,N/A,19719,N/A,19991,N/A,4616.63,N/A,24.55,N/A,1581.93,N/A,8.02,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R7,VL1-H,,17360,300,57.867,48.402,79.607,21385,N/A,19965,N/A,19991,N/A,7852.00,N/A,36.72,N/A,2421.83,N/A,12.13,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R5,VL1-H,,21807,300,72.690,60.801,60.801,17395,N/A,19475,N/A,19991,N/A,10568.47,N/A,60.76,N/A,6183.92,N/A,31.75,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,N/A,All Events,N/A,N/A,37345,300,124.483,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R4,FSC-A,SSC-A,29279,300,97.597,78.401,78.401,220923,321006,203688,287707,175096,246694,70753.78,149723.05,32.03,46.64,55292.08,135054.48,27.15,46.94
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R5,SSC-A,SSC-H,24624,300,82.080,65.937,84.101,300801,242126,278225,228406,246696,215993,117336.64,83165.86,39.01,34.35,113417.42,84847.71,40.76,37.15
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R4,SSC-A,SSC-H,29279,300,97.597,78.401,78.401,321006,246218,287707,231466,246694,215999,149723.05,95099.01,46.64,38.62,135054.48,94248.88,46.94,40.72
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R1,VL1-H,,3464,300,11.547,9.276,14.068,12820,N/A,13670,N/A,16316,N/A,3328.14,N/A,25.96,N/A,3409.24,N/A,24.94,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R2,VL1-H,,15665,300,52.217,41.947,63.617,18310,N/A,19684,N/A,19995,N/A,3424.24,N/A,18.70,N/A,1272.07,N/A,6.46,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R6,VL1-H,,17623,300,58.743,47.190,71.568,19231,N/A,19861,N/A,19995,N/A,4247.16,N/A,22.09,N/A,1401.06,N/A,7.05,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R7,VL1-H,,20534,300,68.447,54.985,83.390,21741,N/A,20099,N/A,19995,N/A,7550.35,N/A,34.73,N/A,1987.43,N/A,9.89,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(7).fcs,7b,Experiment,None,,R5,VL1-H,,24624,300,82.080,65.937,65.937,18434,N/A,19755,N/A,19995,N/A,10142.33,N/A,55.02,N/A,4034.15,N/A,20.42,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,N/A,All Events,N/A,N/A,50811,237,214.392,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R4,FSC-A,SSC-A,39851,237,168.148,78.430,78.430,220476,324950,203665,293453,185253,228241,68677.32,150151.20,31.15,46.21,54780.59,140173.90,26.90,47.77
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(8).fcs,7c,Experiment,None,,R5,SSC-A,SSC-H,33477,237,141.253,65.885,84.005,306616,245149,284031,231929,228253,160774,118859.96,84023.72,38.77,34.27,117694.72,86770.65,41.44,37.41
