GO	[-5.47 -0.81]	[-0.81 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.73]	[0.73 6.80]
GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN	-1.584	-0.503	-1.584	-0.898	-0.267	0.903	3.438	0.338	-0.267	0.338	0.338
GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP	1.047	1.047	-1.064	-0.628	-1.064	0.253	-0.628	0.253	-1.795	2.937	0.253
GSE34156_UNTREATED_VS_24H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP GSE34156_UNTREATED_VS_24H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP	-0.325	2.283	1.621	0.279	-0.789	0.609	-0.789	-0.789	-0.789	0.279	-0.789
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP	-1.542	-1.542	-0.479	0.945	0.359	0.359	-0.865	1.805	1.805	-0.479	-0.479
GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN	-0.768	-0.409	2.029	0.215	2.599	-0.409	0.427	-1.417	0.215	-1.417	-0.409
GSE15330_WT_VS_IKAROS_KO_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN GSE15330_WT_VS_IKAROS_KO_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN	-0.495	-0.286	1.477	-2.090	0.523	-2.090	-0.816	0.317	0.523	1.105	0.786
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_DN GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_DN	-0.473	-1.695	-2.555	-0.288	-0.288	0.500	0.733	1.714	0.500	1.341	-0.744
GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.342	-0.342	-0.342	2.288	0.509	0.263	0.509	1.249	-1.291	-1.291	-1.291
GSE16385_IFNG_TNF_VS_UNSTIM_MACROPHAGE_ROSIGLITAZONE_TREATED_DN GSE16385_IFNG_TNF_VS_UNSTIM_MACROPHAGE_ROSIGLITAZONE_TREATED_DN	-0.793	-0.793	0.947	-2.640	-0.316	-0.793	0.947	0.680	0.947	-0.793	1.616
GSE22886_DC_VS_MONOCYTE_DN GSE22886_DC_VS_MONOCYTE_DN	0.952	0.257	0.952	0.667	-1.445	-0.928	-2.259	1.674	0.257	0.436	-0.928
GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP	0.752	-0.602	0.268	1.491	1.950	-1.753	-1.753	0.268	-0.602	-0.337	0.268
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_DN GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_DN	-1.986	-0.252	-0.408	3.004	-0.945	0.770	-0.945	-0.945	-0.408	1.041	0.770
GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP	-1.286	-0.868	-0.360	0.607	-1.286	-0.360	0.854	4.314	0.249	-0.570	-0.360
