	logFC	SE	t.value	p.value
ABCG4_-_119019811.23-P1P2	-0.155547921523637	0.619232852631251	-0.251194556074796	0.825115942895008
ABHD1_+_27347086.23-P1P2	-0.773845490066111	0.72998486535067	-1.06008429324678	0.400208551435329
ABHD14A_+_52009194.23-P1P2	-0.976333061814957	1.31141597898974	-0.744487696853507	0.534172836340392
ABHD14A_+_52009255.23-P1P2	1.09648889435448	2.22090193405588	0.493713332201046	0.670399891620109
ABHD14B_-_52016965.23-P2	-2.10279712928378	4.37400606059653	-0.480748563251191	0.678147705149161
ABHD17A_-_1885076.23-P1P2	-2.60706324217892	2.59872114865459	-1.0032100764365	0.421416153516752
ABHD4_-_23067680.23-P1P2	-1.54164243707354	0.328759314188773	-4.68927379556561	0.0425923239549911
ABI2_-_204193288.23-P1P2	-1.43358816229356	0.92846535835561	-1.54404054970082	0.262570687533219
ABI3BP_-_100712320.23-P1P2	-2.61512787880804	2.30233495183864	-1.13585900119338	0.373797379545792
ABI3BP_+_100712307.23-P1P2	-0.887931860528492	0.0637426628851577	-13.929946135577	0.00511398778150341
ABL1_+_133589636.23-ENST00000372348.2	-0.809035808453196	1.03534403086857	-0.781417368847418	0.516371591690169
ABLIM1_+_116418018.23-ENST00000277895.5	-0.0107471181985212	1.03584975993213	-0.0103751708155296	0.992663843781325
ABRA_-_107782347.23-P1P2	-1.76984223899066	0.391855740204426	-4.51656581084497	0.0456878071495944
ACAA2_-_47339855.23-P1P2	-1.37456636477239	2.6557372289154	-0.517583723949134	0.656308066595187
ACAA2_+_47339850.23-P1P2	-0.650294713525111	0.562132658031734	-1.15683496454746	0.366843801428888
ACAD10_-_112123925.23-P1P2	-1.37715369724656	1.87637266647462	-0.73394465920994	0.539361979012126
ACADSB_-_124768552.23-P1P2	-1.99357172747627	1.17551933994932	-1.69590721285983	0.231992026892938
ACBD4_+_43210042.23-P2	-2.06152030778158	1.12977458901393	-1.82471824718671	0.20959688609528
ACBD7_+_15130520.23-P1P2	-1.52156854396435	2.05433897622902	-0.74066089460921	0.536050829385052
ACE_-_61562443.23-P2	-3.57961704910765	0.700765744431546	-5.10815073018644	0.0362529352821332
ACIN1_-_23540756.23-P2	0.348368219325724	1.57344437763886	0.221404851850239	0.845327172930987
ACOT4_+_74058635.23-P1P2	-1.21494833825631	1.95195900490687	-0.622425130446975	0.597168579399944
ACOT7_-_6453388.23-P1P2	-1.03165904476189	0.688292665852354	-1.49886682794204	0.272651947986567
ACP5_-_11689724.23-P2	0.687303606479606	4.26713729078735	0.161069016448915	0.886838584538374
ACSF2_-_48503638.23-P1P2	0.62761336400571	0.937314192186072	0.669586963728721	0.5720721701087
ACSF3_-_89160263.23-P1P2	-1.27876520681367	0.914797543350669	-1.39786690083347	0.297015517257222
ACSL6_+_131347320.23-P1	0.267955920333449	2.01994693479229	0.132654930542026	0.90660875839542
ACSM5_-_20421315.23-P1P2	0.439728351788317	2.83147711832085	0.155299984217809	0.890842523028598
ACSS1_+_25038767.23-P1P2	-1.98779025778896	1.34178736586827	-1.48144952646998	0.276669489295164
ACSS3_-_81472074.23-P1P2	-1.50420433777846	2.40639039074626	-0.625087410406414	0.595726663726597
ACTA1_+_229568301.23-P2	-4.21797922281443	1.398994898796	-3.01500686417405	0.0946483109645561
ACTG2_+_74120172.23-P1	0.327968814536437	1.1130068466076	0.294669179741413	0.796018309727602
ACTG2_+_74120202.23-P1	-1.24038707094802	2.36798175882115	-0.523816142724646	0.652666202704854
ACTL6B_+_100253969.23-P1P2	1.94571467262135	2.48148321126104	0.78409342597671	0.515104262070997
ACTN3_-_66313676.23-P1P2	0.171587213643561	0.990528680071229	0.173227910605499	0.878418078661879
ACTR5_+_37377138.23-P1P2	2.04358859530744	1.50901453042987	1.35425375574435	0.308370018601345
ACTRT1_+_127185986.23-P1P2	-2.67069237554273	2.08460929386336	-1.28114768719715	0.328619664178056
ACTRT3_+_169487342.23-P1P2	3.30356952798644	3.26960522090256	1.01038789235677	0.418672147997725
ACVR1B_+_52345897.23-P1P2	-0.384634736603255	2.38342919302944	-0.16137871337993	0.886623796574569
ACVRL1_-_52301119.23-P1P2	-2.36762657026929	2.27522714142387	-1.04061107885149	0.407333008872865
ADA_-_43279996.23-P1P2	2.66569317695208	0.289808218028003	9.19812831772254	0.0116140451980241
