GO	[-8.85 -1.02]	[-1.02 -0.60]	[-0.60 -0.32]	[-0.32 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.50]	[0.50 0.92]	[0.92 1.96]	[1.96 11.51]
DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS	0.268	-0.594	-1.221	-2.251	1.356	1.141	-0.974	-0.594	-0.974	-0.452	5.792
DESCARTES_FETAL_LUNG_NEUROENDOCRINE_CELLS DESCARTES_FETAL_LUNG_NEUROENDOCRINE_CELLS	-0.364	-0.538	-1.077	-2.696	1.529	3.465	-1.477	-0.771	0.246	-0.538	2.218
DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS	0.527	-0.930	-1.237	-2.101	3.922	1.993	-0.685	-0.930	-1.622	0.380	1.138
CUI_DEVELOPING_HEART_C4_ENDOTHELIAL_CELL CUI_DEVELOPING_HEART_C4_ENDOTHELIAL_CELL	-2.173	-0.370	-1.406	-2.668	0.457	0.457	-0.667	-0.502	0.760	3.939	1.901
DESCARTES_FETAL_SPLEEN_MEGAKARYOCYTES DESCARTES_FETAL_SPLEEN_MEGAKARYOCYTES	-0.493	-0.493	-1.237	-2.101	-0.930	-1.237	-0.685	-0.345	1.681	3.489	2.695
DESCARTES_FETAL_EYE_GANGLION_CELLS DESCARTES_FETAL_EYE_GANGLION_CELLS	-0.256	-1.225	-0.451	-0.755	2.002	2.486	-0.451	-1.990	-1.990	0.848	0.849
ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR ZHENG_CORD_BLOOD_C6_HSC_MULTIPOTENT_PROGENITOR	-0.461	-0.659	-0.461	0.594	-0.918	-0.918	0.290	1.025	0.794	3.925	-3.982
DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS	-0.539	-0.940	-1.926	-1.535	0.581	5.822	-0.940	-0.539	-0.539	0.581	1.382
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_BOWMANS_GLAND DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_BOWMANS_GLAND	-0.702	-0.363	-1.326	-1.326	2.772	0.480	-0.702	-1.326	-0.363	0.480	2.774
DESCARTES_MAIN_FETAL_BIPOLAR_CELLS DESCARTES_MAIN_FETAL_BIPOLAR_CELLS	0.301	-0.957	-1.836	-0.457	0.451	5.400	-1.836	-0.957	-0.671	0.636	1.115
