GO	[-5.49 -0.65]	[-0.65 -0.36]	[-0.36 -0.21]	[-0.21 -0.09]	[-0.09 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.29]	[0.29 0.54]	[0.54 1.06]	[1.06 6.47]
MORF_PRKAR1A MORF_PRKAR1A	-3.170	-0.818	0.371	0.818	1.230	-1.343	2.316	4.134	0.646	-1.686	-4.802
GNF2_LCAT GNF2_LCAT	1.791	-0.945	-1.233	-0.945	-3.201	5.840	-1.233	-2.547	-0.523	0.630	2.748
MORF_TERF2IP MORF_TERF2IP	-2.920	-0.417	1.224	3.176	1.224	-3.723	0.988	1.487	0.440	-1.385	-3.749
GNF2_DENR GNF2_DENR	-0.300	1.823	3.904	3.320	-0.837	-2.115	-0.837	0.302	-1.328	-2.115	-2.128
MORF_CDH4 MORF_CDH4	2.269	0.598	-1.190	-1.904	0.767	5.457	-1.514	-1.190	-4.497	1.176	-0.715
MORF_TPR MORF_TPR	-3.304	-0.274	1.608	0.746	0.928	-2.207	2.168	1.608	1.133	-1.787	-4.959
GNF2_ITGB2 GNF2_ITGB2	-1.537	-2.365	-1.537	-1.006	-2.365	-1.006	-0.234	2.831	1.154	1.508	3.329
MODULE_292 MODULE_292	0.598	-0.703	-1.190	-4.497	-1.904	1.176	-0.923	-0.923	-0.384	3.316	4.945
GNF2_HPN GNF2_HPN	2.683	-1.148	-1.148	-1.148	-2.313	6.090	-0.886	-2.313	-0.886	0.479	2.008
MORF_PSMC2 MORF_PSMC2	-3.646	0.468	0.630	1.037	1.552	-2.230	3.284	1.037	0.333	-1.735	-3.671
GCM_RAF1 GCM_RAF1	-1.057	-0.354	1.867	6.322	1.042	-1.783	-1.057	0.254	-1.783	-1.783	-0.630
GNF2_ESPL1 GNF2_ESPL1	-0.430	7.833	2.484	-0.796	-0.430	-1.451	-0.796	-0.430	-0.430	-1.451	-1.459
GCM_PPP1CC GCM_PPP1CC	-0.977	1.194	2.906	2.906	0.613	-2.323	0.233	0.398	-1.502	-2.323	-2.337
MORF_DEAF1 MORF_DEAF1	-0.234	1.906	3.353	1.906	-0.645	-1.537	0.589	-0.234	-2.365	-2.365	-2.379
GNF2_MCL1 GNF2_MCL1	-2.365	-2.365	-1.537	-0.398	-1.006	-1.537	-0.398	1.508	0.847	3.914	2.329
MORF_MTA1 MORF_MTA1	-0.733	0.710	2.443	0.710	1.750	-2.369	1.750	0.372	-0.521	-3.113	-4.183
MORF_MBD4 MORF_MBD4	-3.532	0.436	1.086	0.617	0.617	-1.871	3.285	2.427	-0.982	-1.365	-2.569
MODULE_171 MODULE_171	0.938	-1.212	-1.538	-2.971	-2.402	1.646	-0.719	-0.941	-0.395	4.483	2.868
MODULE_152 MODULE_152	-2.019	-0.711	0.343	1.251	1.019	-2.547	2.779	2.426	0.811	-1.587	-4.059
MORF_RAB5A MORF_RAB5A	-3.950	-0.446	0.302	-0.446	1.056	-1.228	4.016	2.310	0.614	-0.897	-2.945
MODULE_146 MODULE_146	0.669	-3.189	-1.861	-2.437	-0.259	5.510	-1.052	-0.552	-0.259	0.493	2.323
CAR_HPX CAR_HPX	0.464	-1.488	-1.039	-1.039	-0.471	6.570	-0.710	-2.110	-1.488	0.302	3.128
MORF_RFC1 MORF_RFC1	-1.597	1.169	1.433	4.961	0.393	-1.597	0.544	-0.479	-0.334	-1.215	-4.561
GNF2_VAV1 GNF2_VAV1	-1.492	-0.828	-1.492	-1.492	0.986	-1.492	0.381	1.863	0.986	3.629	-1.501
GNF2_CD53 GNF2_CD53	-2.407	-1.572	-1.572	-1.572	1.461	-1.572	1.115	2.284	1.115	2.284	-1.045
GNF2_STAT6 GNF2_STAT6	-3.282	-1.677	-1.677	-0.577	0.367	-1.677	0.998	2.766	2.766	1.603	-0.853
